행정구역,날짜,연도,연령대,인구수,총인구수,인구비율 (%),구분
서울특별시,2021-07,2021,0~9세,599600,9558153,6.2700000000000005,아동
서울특별시,2021-07,2021,10~19세,764952,9558153,8.0,청소년
서울특별시,2021-07,2021,20~29세,1440484,9558153,15.07,청년
서울특별시,2021-07,2021,30~39세,1449434,9558153,15.160000000000002,청년
서울특별시,2021-07,2021,40~49세,1497354,9558153,15.67,중장년
서울특별시,2021-07,2021,50~59세,1505745,9558153,15.75,중장년
서울특별시,2021-07,2021,60~69세,1274190,9558153,13.33,중장년
서울특별시,2021-07,2021,70~79세,696452,9558153,7.290000000000001,노년
서울특별시,2021-07,2021,80~89세,286511,9558153,3.0,노년
서울특별시,2021-07,2021,90~99세,40954,9558153,0.43,노년
서울특별시,2021-07,2021,100세 이상,2477,9558153,0.03,노년
부산광역시,2021-07,2021,0~9세,224799,3361781,6.69,아동
부산광역시,2021-07,2021,10~19세,267659,3361781,7.960000000000001,청소년
부산광역시,2021-07,2021,20~29세,422488,3361781,12.57,청년
부산광역시,2021-07,2021,30~39세,409975,3361781,12.2,청년
부산광역시,2021-07,2021,40~49세,505116,3361781,15.03,중장년
부산광역시,2021-07,2021,50~59세,556481,3361781,16.55,중장년
부산광역시,2021-07,2021,60~69세,544644,3361781,16.2,중장년
부산광역시,2021-07,2021,70~79세,294713,3361781,8.77,노년
부산광역시,2021-07,2021,80~89세,120274,3361781,3.58,노년
부산광역시,2021-07,2021,90~99세,14876,3361781,0.44,노년
부산광역시,2021-07,2021,100세 이상,756,3361781,0.02,노년
대구광역시,2021-07,2021,0~9세,171893,2395749,7.17,아동
대구광역시,2021-07,2021,10~19세,220577,2395749,9.21,청소년
대구광역시,2021-07,2021,20~29세,315051,2395749,13.15,청년
대구광역시,2021-07,2021,30~39세,287590,2395749,12.0,청년
대구광역시,2021-07,2021,40~49세,376422,2395749,15.71,중장년
대구광역시,2021-07,2021,50~59세,419517,2395749,17.51,중장년
대구광역시,2021-07,2021,60~69세,337985,2395749,14.11,중장년
대구광역시,2021-07,2021,70~79세,175933,2395749,7.340000000000001,노년
대구광역시,2021-07,2021,80~89세,80677,2395749,3.37,노년
대구광역시,2021-07,2021,90~99세,9732,2395749,0.41,노년
대구광역시,2021-07,2021,100세 이상,372,2395749,0.02,노년
인천광역시,2021-07,2021,0~9세,221097,2937440,7.53,아동
인천광역시,2021-07,2021,10~19세,271547,2937440,9.24,청소년
인천광역시,2021-07,2021,20~29세,394550,2937440,13.43,청년
인천광역시,2021-07,2021,30~39세,400637,2937440,13.64,청년
인천광역시,2021-07,2021,40~49세,480528,2937440,16.36,중장년
인천광역시,2021-07,2021,50~59세,508488,2937440,17.31,중장년
인천광역시,2021-07,2021,60~69세,388725,2937440,13.23,중장년
인천광역시,2021-07,2021,70~79세,178261,2937440,6.069999999999999,노년
인천광역시,2021-07,2021,80~89세,80508,2937440,2.74,노년
인천광역시,2021-07,2021,90~99세,12554,2937440,0.43,노년
인천광역시,2021-07,2021,100세 이상,545,2937440,0.02,노년
광주광역시,2021-07,2021,0~9세,116003,1442482,8.04,아동
광주광역시,2021-07,2021,10~19세,153869,1442482,10.67,청소년
광주광역시,2021-07,2021,20~29세,207814,1442482,14.41,청년
광주광역시,2021-07,2021,30~39세,182548,1442482,12.659999999999998,청년
광주광역시,2021-07,2021,40~49세,237460,1442482,16.46,중장년
광주광역시,2021-07,2021,50~59세,233995,1442482,16.220000000000002,중장년
광주광역시,2021-07,2021,60~69세,169107,1442482,11.72,중장년
광주광역시,2021-07,2021,70~79세,94071,1442482,6.52,노년
광주광역시,2021-07,2021,80~89세,41385,1442482,2.87,노년
광주광역시,2021-07,2021,90~99세,5997,1442482,0.42,노년
광주광역시,2021-07,2021,100세 이상,233,1442482,0.02,노년
대전광역시,2021-07,2021,0~9세,110138,1455300,7.57,아동
대전광역시,2021-07,2021,10~19세,143598,1455300,9.87,청소년
대전광역시,2021-07,2021,20~29세,210655,1455300,14.48,청년
대전광역시,2021-07,2021,30~39세,190813,1455300,13.11,청년
대전광역시,2021-07,2021,40~49세,233122,1455300,16.02,중장년
대전광역시,2021-07,2021,50~59세,239271,1455300,16.439999999999998,중장년
대전광역시,2021-07,2021,60~69세,187703,1455300,12.9,중장년
대전광역시,2021-07,2021,70~79세,91741,1455300,6.3,노년
대전광역시,2021-07,2021,80~89세,42113,1455300,2.89,노년
대전광역시,2021-07,2021,90~99세,5937,1455300,0.41,노년
대전광역시,2021-07,2021,100세 이상,209,1455300,0.01,노년
울산광역시,2021-07,2021,0~9세,94428,1125727,8.39,아동
울산광역시,2021-07,2021,10~19세,110546,1125727,9.82,청소년
울산광역시,2021-07,2021,20~29세,140710,1125727,12.5,청년
