시도명,성형외과 수,개업,폐업,요양종별비율(%)
강원도,3,3,8,0.9714285714285714
경기도,100,101,81,13.53317682004804
경상남도,19,19,12,3.844750237072957
경상북도,9,8,11,2.0508149745752786
광주광역시,28,28,17,4.471756326100481
대구광역시,67,66,35,10.210797719488895
대전광역시,33,33,11,3.323002337339696
부산광역시,92,94,55,10.392549355211012
서울특별시,609,591,356,26.475976895029763
세종특별자치시,4,4,1,0.690846286701209
울산광역시,11,11,16,1.7988342476489028
인천광역시,33,32,25,4.865331815040575
전라남도,5,5,2,1.0309278350515463
전라북도,16,15,6,1.8934911242603552
제주특별자치도,14,14,16,1.6277802883514196
충청남도,12,12,13,2.7388508248158017
충청북도,11,11,4,2.5606027516925094
