시군구명,개업,폐업,영업중,인구수,만명당_요양기관_수
가평군,113,88,112,124572,8.990784445942909
고양시덕양구,704,620,721,970124,7.4320396155543005
고양시일산동구,506,424,504,598046,8.427445380455683
고양시일산서구,512,504,520,588624,8.834162385495665
과천시,97,72,103,157038,6.558922044345955
광명시,556,473,567,580928,9.760245675884102
광주시,418,238,437,779658,5.60502168899697
구리시,436,378,442,380724,11.609459871192781
군포시,430,312,432,535326,8.069849026574461
김포시,687,434,712,970694,7.334958287575693
남양주시,985,727,1023,1472174,6.9489068547603745
동두천시,132,137,131,185960,7.04452570445257
부천시,1477,318,1499,1597746,9.381966845794013
성남시분당구,1217,1042,1242,967862,12.832407925923324
성남시수정구,577,447,588,469394,12.526789860969677
성남시중원구,426,416,418,415722,10.054796234021774
수원시권선구,494,336,504,738286,6.826622745115037
수원시영통구,632,330,648,722976,8.962953127074758
수원시장안구,455,407,457,546360,8.36444834907387
수원시팔달구,611,513,618,362190,17.06286755570281
시흥시,674,481,721,1027736,7.015420302490133
안산시단원구,644,602,654,600398,10.892774459608459
안산시상록구,415,418,418,697148,5.9958574076092885
안성시,283,196,288,379896,7.581022174489861
안양시동안구,713,544,725,629830,11.511042662305702
안양시만안구,403,390,402,469370,8.564671794106994
양주시,288,203,287,474244,6.051737080490212
양평군,189,150,192,244650,7.8479460453709375
여주시,189,66,193,225216,8.56955100880932
연천군,71,83,70,85220,8.214034264257217
오산시,320,244,326,460298,7.082368378745943
용인시기흥구,623,327,630,879610,7.162265094757903
용인시수지구,571,361,572,751570,7.61073486168953
용인시처인구,330,184,346,523726,6.606507983182046
의왕시,203,143,205,322618,6.354264176208395
의정부시,781,681,792,928228,8.532386439538561
이천시,348,305,348,447846,7.770528261947187
파주시,600,474,611,975510,6.263390431671638
평택시,826,618,847,1144958,7.397651267557413
포천시,214,147,213,296054,7.194633411472232
하남시,491,243,512,647482,7.907555731279016
화성시,1142,588,1182,1792184,6.595304946367114
